n;thickness_nm;dR/Rmax;Rmax;Rmin;dR;error
1;279,572;0,128775;0,88293;0,768605;0,1137;0,014
2;305,842;0,115457;0,847895;0,748174;0,0978953;0,009
3;332,112;0,292309;0,579712;0,40887;0,169455;0,004
4;358,382;0,361487;0,481889;0,302562;0,174197;0,0001
5;384,652;0,184014;0,809151;0,659454;0,148895;0,003
6;410,922;0,115607;0,797302;0,70431;0,0921738;0,005
7;437,192;0,178813;0,608874;0,499492;0,108874;0,008
8;463,462;0,268852;0,586538;0,427618;0,157692; 0,009
9;489,732;0,178596;0,826446;0,678131;0,1476;0,01
10;516,003;0,160463;0,778818;0,653142;0,124972; 0,01
11;542,273;0,0977658;0,462527;0,403005;0,0452193; 0,01
12;568,543;0,166942;0,476311;0,393718;0,0795165; 0,008
13;594,812;0,175468;0,731572;0,602571;0,128367; 0,005
14;621,082;0,112292;0,722113;0,64026;0,0810877; 0,003
15;647,353;0,112381;0,592914;0,525733;0,066632; 0,0001
16;673,623;0,430314;0,365721;0,25501;0,109734; 0,005
17;699,893;0,166211;0,645032;0,537385;0,107212; 0,01
18;726,163;0,145402;0,727587;0,62123;0,105792; 0,02
